2026-03-29T21:59:27+00:00 | 203.15.109.97 | Attack:DDoS | port=3389 | status=SUCCESSFUL | severity=high | src=203.15.109.97 attack=DDoS port=3389 action=SUCCESSFUL sev=high noise:kt71 peak_rps=37226
2026-03-29T16:55:49+00:00 | 5.35.21.21 | Attack:Brute Force | port=22 | status=BLOCKED | severity=medium | src=5.35.21.21 attack=Brute Force port=22 action=BLOCKED sev=medium
2026-03-29T06:01:06+00:00 | 39.74.95.207 | Attack:DDoS | port=22 | status=DETECTED | severity=low | src=39.74.95.207 attack=DDoS port=22 action=DETECTED sev=low peak_rps=55116
2026-03-29T19:26:57+00:00 | 180.147.150.230 | Attack:DDoS | port=1433 | status=BLOCKED | severity=medium | src=180.147.150.230 attack=DDoS port=1433 action=BLOCKED sev=medium peak_rps=41385
2026-03-29T07:16:54+00:00 | 55.14.126.106 | Attack:DDoS | port=22 | status=BLOCKED | severity=low | src=55.14.126.106 attack=DDoS port=22 action=BLOCKED sev=low peak_rps=37443
2026-03-29T18:43:41+00:00 | 81.95.251.152 | Attack:Brute Force | port=3306 | status=DETECTED | severity=low | src=81.95.251.152 attack=Brute Force port=3306 action=DETECTED sev=low noise:kc78
2026-03-29T18:19:32+00:00 | 68.3.64.52 | Attack:DDoS | port=21 | status=SUCCESSFUL | severity=high | src=68.3.64.52 attack=DDoS port=21 action=SUCCESSFUL sev=high peak_rps=12250
2026-03-28T05:44:19+00:00 | 134.198.197.142 | Attack:Brute Force | port=22 | status=MITIGATED | severity=medium | src=134.198.197.142 attack=Brute Force port=22 action=MITIGATED sev=medium
2026-03-28T04:30:57+00:00 | 20.104.154.64 | Attack:DDoS | port=21 | status=BLOCKED | severity=medium | src=20.104.154.64 attack=DDoS port=21 action=BLOCKED sev=medium peak_rps=36853
2026-03-28T18:10:02+00:00 | 212.117.51.218 | Attack:DDoS | port=1433 | status=DETECTED | severity=low | src=212.117.51.218 attack=DDoS port=1433 action=DETECTED sev=low peak_rps=82263
2026-03-28T02:44:08+00:00 | 27.166.162.167 | Attack:Brute Force | port=1433 | status=BLOCKED | severity=high | src=27.166.162.167 attack=Brute Force port=1433 action=BLOCKED sev=high pattern=login-failures
2026-03-29T23:52:14+00:00 | 118.11.81.222 | Attack:Brute Force | port=443 | status=MITIGATED | severity=medium | src=118.11.81.222 attack=Brute Force port=443 action=MITIGATED sev=medium
2026-03-29T02:50:12+00:00 | 195.240.26.82 | Attack:DDoS | port=80 | status=SUCCESSFUL | severity=high | src=195.240.26.82 attack=DDoS port=80 action=SUCCESSFUL sev=high peak_rps=18419
2026-03-29T14:44:25+00:00 | 181.244.19.113 | Attack:Brute Force | port=1433 | status=BLOCKED | severity=medium | src=181.244.19.113 attack=Brute Force port=1433 action=BLOCKED sev=medium
2026-03-28T07:26:34+00:00 | 149.212.132.23 | Attack:Brute Force | port=1433 | status=DETECTED | severity=low | src=149.212.132.23 attack=Brute Force port=1433 action=DETECTED sev=low
2026-03-28T04:55:10+00:00 | 202.255.103.64 | Attack:Brute Force | port=445 | status=DETECTED | severity=low | src=202.255.103.64 attack=Brute Force port=445 action=DETECTED sev=low
2026-03-29T02:14:21+00:00 | 221.236.30.12 | Attack:DDoS | port=80 | status=BLOCKED | severity=low | src=221.236.30.12 attack=DDoS port=80 action=BLOCKED sev=low noise:gq21 peak_rps=24378
2026-03-28T08:52:33+00:00 | 212.131.107.53 | Attack:DDoS | port=3389 | status=SUCCESSFUL | severity=high | src=212.131.107.53 attack=DDoS port=3389 action=SUCCESSFUL sev=high peak_rps=68325
2026-03-29T18:58:33+00:00 | 27.159.250.156 | Attack:DDoS | port=80 | status=SUCCESSFUL | severity=low | src=27.159.250.156 attack=DDoS port=80 action=SUCCESSFUL sev=low noise:kk02 peak_rps=24374
2026-03-28T07:22:32+00:00 | 213.233.80.55 | Attack:Brute Force | port=23 | status=DETECTED | severity=low | src=213.233.80.55 attack=Brute Force port=23 action=DETECTED sev=low noise:zh45
2026-03-28T08:01:07+00:00 | 134.188.209.167 | Attack:DDoS | port=445 | status=SUCCESSFUL | severity=high | src=134.188.209.167 attack=DDoS port=445 action=SUCCESSFUL sev=high peak_rps=82360
2026-03-29T19:21:42+00:00 | 29.17.100.251 | Attack:DDoS | port=3389 | status=MITIGATED | severity=low | src=29.17.100.251 attack=DDoS port=3389 action=MITIGATED sev=low peak_rps=18971
2026-03-28T15:12:30+00:00 | 223.14.255.37 | Attack:DDoS | port=1433 | status=DETECTED | severity=low | src=223.14.255.37 attack=DDoS port=1433 action=DETECTED sev=low peak_rps=87296
2026-03-28T12:53:10+00:00 | 64.94.147.225 | Attack:Brute Force | port=22 | status=DETECTED | severity=low | src=64.94.147.225 attack=Brute Force port=22 action=DETECTED sev=low
2026-03-29T21:45:58+00:00 | 213.242.24.173 | Attack:DDoS | port=21 | status=BLOCKED | severity=low | src=213.242.24.173 attack=DDoS port=21 action=BLOCKED sev=low noise:gc88 peak_rps=96199
2026-03-28T23:07:10+00:00 | 175.232.39.58 | Attack:Brute Force | port=3306 | status=DETECTED | severity=medium | src=175.232.39.58 attack=Brute Force port=3306 action=DETECTED sev=medium
2026-03-28T14:45:05+00:00 | 162.216.57.81 | Attack:DDoS | port=80 | status=BLOCKED | severity=medium | src=162.216.57.81 attack=DDoS port=80 action=BLOCKED sev=medium noise:jo78 peak_rps=28654
2026-03-28T04:59:30+00:00 | 32.112.127.243 | Attack:DDoS | port=23 | status=BLOCKED | severity=medium | src=32.112.127.243 attack=DDoS port=23 action=BLOCKED sev=medium peak_rps=1708
2026-03-28T14:01:53+00:00 | 189.43.96.105 | Attack:DDoS | port=22 | status=DETECTED | severity=low | src=189.43.96.105 attack=DDoS port=22 action=DETECTED sev=low noise:vk07 peak_rps=52797
2026-03-28T22:59:17+00:00 | 195.192.60.226 | Attack:DDoS | port=23 | status=MITIGATED | severity=low | src=195.192.60.226 attack=DDoS port=23 action=MITIGATED sev=low peak_rps=111977
2026-03-29T16:07:25+00:00 | 203.182.64.237 | Attack:DDoS | port=21 | status=SUCCESSFUL | severity=high | src=203.182.64.237 attack=DDoS port=21 action=SUCCESSFUL sev=high peak_rps=90398
2026-03-29T16:00:46+00:00 | 104.246.236.26 | Attack:DDoS | port=22 | status=BLOCKED | severity=low | src=104.246.236.26 attack=DDoS port=22 action=BLOCKED sev=low peak_rps=94104
2026-03-29T01:01:35+00:00 | 174.133.200.80 | Attack:Brute Force | port=1433 | status=DETECTED | severity=medium | src=174.133.200.80 attack=Brute Force port=1433 action=DETECTED sev=medium
2026-03-28T01:45:30+00:00 | 197.206.75.143 | Attack:DDoS | port=23 | status=DETECTED | severity=low | src=197.206.75.143 attack=DDoS port=23 action=DETECTED sev=low peak_rps=106628
2026-03-28T03:14:39+00:00 | 69.3.124.19 | Attack:Brute Force | port=3389 | status=SUCCESSFUL | severity=high | src=69.3.124.19 attack=Brute Force port=3389 action=SUCCESSFUL sev=high pattern=login-failures
2026-03-28T15:51:07+00:00 | 7.92.193.166 | Attack:DDoS | port=23 | status=DETECTED | severity=low | src=7.92.193.166 attack=DDoS port=23 action=DETECTED sev=low peak_rps=87307
2026-03-29T09:00:50+00:00 | 41.4.194.35 | Attack:Brute Force | port=80 | status=BLOCKED | severity=medium | src=41.4.194.35 attack=Brute Force port=80 action=BLOCKED sev=medium
2026-03-28T10:29:33+00:00 | 220.210.36.97 | Attack:Brute Force | port=445 | status=SUCCESSFUL | severity=high | src=220.210.36.97 attack=Brute Force port=445 action=SUCCESSFUL sev=high pattern=login-failures
2026-03-29T00:14:30+00:00 | 132.191.101.118 | Attack:DDoS | port=21 | status=DETECTED | severity=low | src=132.191.101.118 attack=DDoS port=21 action=DETECTED sev=low noise:fq02 peak_rps=2574
2026-03-28T12:11:41+00:00 | 217.152.90.38 | Attack:DDoS | port=21 | status=DETECTED | severity=low | src=217.152.90.38 attack=DDoS port=21 action=DETECTED sev=low peak_rps=78160
2026-03-29T10:35:06+00:00 | 186.127.160.236 | Attack:Brute Force | port=80 | status=BLOCKED | severity=low | src=186.127.160.236 attack=Brute Force port=80 action=BLOCKED sev=low
2026-03-28T23:26:05+00:00 | 152.98.147.92 | Attack:DDoS | port=445 | status=BLOCKED | severity=medium | src=152.98.147.92 attack=DDoS port=445 action=BLOCKED sev=medium peak_rps=28188
2026-03-29T22:56:24+00:00 | 145.249.40.248 | Attack:DDoS | port=80 | status=DETECTED | severity=medium | src=145.249.40.248 attack=DDoS port=80 action=DETECTED sev=medium peak_rps=80885
2026-03-29T02:46:00+00:00 | 48.141.6.123 | Attack:Brute Force | port=23 | status=BLOCKED | severity=low | src=48.141.6.123 attack=Brute Force port=23 action=BLOCKED sev=low noise:hq61
2026-03-28T12:52:36+00:00 | 32.29.55.130 | Attack:Brute Force | port=3389 | status=BLOCKED | severity=low | src=32.29.55.130 attack=Brute Force port=3389 action=BLOCKED sev=low
2026-03-29T20:06:56+00:00 | 222.70.119.196 | Attack:Brute Force | port=23 | status=BLOCKED | severity=medium | src=222.70.119.196 attack=Brute Force port=23 action=BLOCKED sev=medium
2026-03-29T10:29:17+00:00 | 163.133.62.241 | Attack:DDoS | port=3389 | status=BLOCKED | severity=medium | src=163.133.62.241 attack=DDoS port=3389 action=BLOCKED sev=medium peak_rps=97241
2026-03-28T23:55:45+00:00 | 217.16.123.210 | Attack:DDoS | port=22 | status=MITIGATED | severity=low | src=217.16.123.210 attack=DDoS port=22 action=MITIGATED sev=low peak_rps=11954
2026-03-29T20:07:01+00:00 | 44.178.173.185 | Attack:DDoS | port=3306 | status=BLOCKED | severity=medium | src=44.178.173.185 attack=DDoS port=3306 action=BLOCKED sev=medium noise:ag72 peak_rps=87161
2026-03-29T20:44:58+00:00 | 145.23.249.250 | Attack:DDoS | port=22 | status=SUCCESSFUL | severity=high | src=145.23.249.250 attack=DDoS port=22 action=SUCCESSFUL sev=high peak_rps=60217
