2026-03-11 08:01:48 | IP:10.0.0.5 | USER:test | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 20:32:03 | IP:66.249.66.1 | USER:user1 | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 10:22:56 | IP:172.16.0.12 | USER:test | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 13:07:22 | IP:185.199.110.153 | USER:guest | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 17:21:16 | IP:192.168.1.10 | USER:user1 | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 01:18:53 | IP:45.33.32.156 | USER:root | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 07:27:36 | IP:172.16.0.12 | USER:test | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 23:48:40 | IP:10.0.0.5 | USER:test | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 08:54:23 | IP:172.16.0.12 | USER:test | EVENT:LOGIN_FAILED | SCORE:2
2026-03-11 02:14:25 | IP:45.33.32.156 | USER:guest | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 08:45:58 | IP:45.33.32.156 | USER:admin | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-03-10 13:12:33 | IP:45.33.32.156 | USER:user1 | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-03-10 11:07:10 | IP:185.199.110.153 | USER:guest | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 08:55:43 | IP:172.16.0.12 | USER:admin | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
2026-03-11 02:41:00 | IP:45.33.32.156 | USER:guest | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 00:08:59 | IP:45.33.32.156 | USER:guest | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-11 08:21:36 | IP:45.33.32.156 | USER:admin | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 15:23:47 | IP:66.249.66.1 | USER:admin | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 10:06:20 | IP:192.168.1.10 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 12:45:42 | IP:185.199.110.153 | USER:root | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 00:45:00 | IP:172.16.0.12 | USER:user1 | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-03-10 16:58:37 | IP:172.16.0.12 | USER:developer | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-10 20:33:39 | IP:172.16.0.12 | USER:root | EVENT:LOGIN_FAILED | SCORE:2
2026-03-10 14:04:50 | IP:192.168.1.10 | USER:root | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 02:58:51 | IP:192.168.1.10 | USER:test | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 13:59:59 | IP:66.249.66.1 | USER:root | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-10 13:35:17 | IP:185.199.110.153 | USER:developer | EVENT:LOGIN_SUCCESS | SCORE:0
2026-03-11 05:48:16 | IP:172.16.0.12 | USER:user1 | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-03-10 21:45:37 | IP:10.0.0.5 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 09:28:01 | IP:172.16.0.12 | USER:admin | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-03-10 14:43:30 | IP:172.16.0.12 | USER:guest | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-03-11 07:16:03 | IP:66.249.66.1 | USER:guest | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-03-10 10:29:20 | IP:185.199.110.153 | USER:user1 | EVENT:MALWARE_SIGNATURE_FOUND | SCORE:10
