2026-02-19 11:01:37 | IP:10.0.0.5 | USER:root | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-19 08:28:46 | IP:10.0.0.5 | USER:developer | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-18 21:10:35 | IP:66.249.66.1 | USER:guest | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-19 05:37:24 | IP:185.199.110.153 | USER:guest | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-02-19 10:57:18 | IP:192.168.1.10 | USER:guest | EVENT:LOGIN_FAILED | SCORE:2
2026-02-19 01:52:38 | IP:66.249.66.1 | USER:user1 | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-19 07:23:05 | IP:45.33.32.156 | USER:guest | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-02-19 02:56:27 | IP:45.33.32.156 | USER:developer | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-18 21:42:16 | IP:66.249.66.1 | USER:user1 | EVENT:UNAUTHORIZED_ACCESS | SCORE:6
2026-02-18 19:38:09 | IP:45.33.32.156 | USER:guest | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 12:24:16 | IP:66.249.66.1 | USER:guest | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-02-19 03:23:33 | IP:203.45.67.89 | USER:test | EVENT:LOGIN_FAILED | SCORE:2
2026-02-19 12:01:31 | IP:192.168.1.10 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-19 15:57:53 | IP:185.199.110.153 | USER:guest | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-02-19 06:47:06 | IP:45.33.32.156 | USER:user1 | EVENT:SQL_INJECTION_DETECTED | SCORE:8
2026-02-19 11:35:10 | IP:203.45.67.89 | USER:user1 | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-02-18 21:28:57 | IP:45.33.32.156 | USER:user1 | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-18 23:40:40 | IP:10.0.0.5 | USER:user1 | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
2026-02-18 22:02:18 | IP:203.45.67.89 | USER:test | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-19 13:05:05 | IP:66.249.66.1 | USER:user1 | EVENT:PORT_SCAN_DETECTED | SCORE:4
2026-02-19 06:15:20 | IP:66.249.66.1 | USER:root | EVENT:DDOS_TRAFFIC_SPIKE | SCORE:9
2026-02-18 20:50:54 | IP:10.0.0.5 | USER:admin | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-18 16:53:49 | IP:10.0.0.5 | USER:admin | EVENT:LOGIN_FAILED | SCORE:2
2026-02-18 22:57:32 | IP:185.199.110.153 | USER:developer | EVENT:LOGIN_SUCCESS | SCORE:0
2026-02-19 14:31:15 | IP:10.0.0.5 | USER:test | EVENT:PHISHING_ATTEMPT | SCORE:5
2026-02-19 05:03:53 | IP:185.199.110.153 | USER:admin | EVENT:XSS_ATTACK_DETECTED | SCORE:7
2026-02-18 18:20:22 | IP:185.199.110.153 | USER:guest | EVENT:BRUTE_FORCE_ATTEMPT | SCORE:5
