2026-03-19T02:28:23+00:00 | 192.168.1.0 | GET /dashboard | port=443 | status=403 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] GET /dashboard -> 403 (sev=high) suspicious-response=403
2026-03-19T08:42:16+00:00 | 192.168.1.0 | PUT /api/users | port=80 | status=504 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PUT /api/users -> 504 (sev=high) noise:gt01
2026-03-19T10:55:28+00:00 | 192.168.1.0 | DELETE /api/orders | port=443 | status=504 | severity=low | [2f02d820-a5ad-448c-8fbb-73dfc748660f] DELETE /api/orders -> 504 (sev=low)
2026-03-20T21:14:06+00:00 | 192.168.1.0 | PATCH /api/search | port=80 | status=200 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH /api/search?q=billion -> 200 (sev=high) noise:qk98
2026-03-19T13:58:12+00:00 | 192.168.1.0 | PATCH /api/users | port=80 | status=200 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH /api/users -> 200 (sev=medium) noise:es24
2026-03-20T05:36:59+00:00 | 192.168.1.0 | GET /api/search | port=443 | status=502 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] GET /api/search?q=series -> 502 (sev=high) suspicious-response=502
2026-03-19T06:57:25+00:00 | 192.168.1.0 | GET /api/auth | port=443 | status=504 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] GET /api/auth -> 504 (sev=medium) noise:zi27
2026-03-19T17:42:48+00:00 | 192.168.1.0 | GET /dashboard | port=80 | status=200 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] GET /dashboard -> 200 (sev=high) noise:wa27
2026-03-20T07:24:14+00:00 | 192.168.1.0 | DELETE /status | port=443 | status=401 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] DELETE /status -> 401 (sev=medium)
2026-03-19T00:59:14+00:00 | 192.168.1.0 | POST /dashboard | port=443 | status=200 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] POST /dashboard -> 200 (sev=medium)
2026-03-20T04:08:25+00:00 | 192.168.1.0 | PUT /dashboard | port=443 | status=302 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PUT /dashboard -> 302 (sev=high)
2026-03-20T11:39:28+00:00 | 192.168.1.0 | PUT /admin | port=80 | status=200 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PUT /admin -> 200 (sev=medium) noise:qf82
2026-03-20T21:35:30+00:00 | 192.168.1.0 | PATCH /settings | port=80 | status=500 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH /settings -> 500 (sev=high) suspicious-response=500
2026-03-19T18:09:29+00:00 | 192.168.1.0 | POST /admin | port=443 | status=302 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] POST /admin -> 302 (sev=high)
2026-03-19T21:27:05+00:00 | 192.168.1.0 | PATCH /api/orders | port=80 | status=200 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH /api/orders -> 200 (sev=high)
2026-03-20T07:12:15+00:00 | 192.168.1.0 | PATCH /status | port=80 | status=200 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH /status -> 200 (sev=medium)
2026-03-19T12:06:15+00:00 | 192.168.1.0 | POST /api/auth | port=80 | status=200 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] POST /api/auth -> 200 (sev=high) suspicious-response=200
2026-03-19T05:27:26+00:00 | 192.168.1.0 | GET /api/search | port=443 | status=200 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] GET /api/search?q=value -> 200 (sev=medium)
2026-03-20T06:50:46+00:00 | 192.168.1.0 | GET /api/orders | port=80 | status=204 | severity=low | [2f02d820-a5ad-448c-8fbb-73dfc748660f] GET /api/orders -> 204 (sev=low)
2026-03-19T01:00:27+00:00 | 192.168.1.0 | PATCH /api/users | port=80 | status=403 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH /api/users -> 403 (sev=high)
2026-03-19T18:32:43+00:00 | 192.168.1.0 | POST /settings | port=443 | status=502 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] POST /settings -> 502 (sev=high)
2026-03-19T04:44:59+00:00 | 192.168.1.0 | PATCH /api/search | port=443 | status=200 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH /api/search?q=nor -> 200 (sev=high)
2026-03-19T11:30:06+00:00 | 192.168.1.0 | PATCH /dashboard | port=443 | status=403 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH /dashboard -> 403 (sev=high) noise:yv80 suspicious-response=403
2026-03-19T12:26:48+00:00 | 192.168.1.0 | DELETE /status | port=443 | status=404 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] DELETE /status -> 404 (sev=high) suspicious-response=404
2026-03-20T23:40:54+00:00 | 192.168.1.0 | POST / | port=80 | status=200 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] POST / -> 200 (sev=medium) noise:tk99
2026-03-19T11:09:12+00:00 | 192.168.1.0 | PUT /api/search | port=80 | status=201 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PUT /api/search?q=long -> 201 (sev=medium)
2026-03-19T15:16:33+00:00 | 192.168.1.0 | PATCH / | port=80 | status=200 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH / -> 200 (sev=medium)
2026-03-20T18:43:08+00:00 | 192.168.1.0 | POST / | port=80 | status=403 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] POST / -> 403 (sev=high)
2026-03-19T21:03:33+00:00 | 192.168.1.0 | PATCH /admin | port=443 | status=200 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PATCH /admin -> 200 (sev=high) noise:vo26
2026-03-19T19:00:03+00:00 | 192.168.1.0 | GET /settings | port=80 | status=200 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] GET /settings -> 200 (sev=high)
2026-03-20T13:19:10+00:00 | 192.168.1.0 | PUT /api/orders | port=443 | status=200 | severity=high | [2f02d820-a5ad-448c-8fbb-73dfc748660f] PUT /api/orders -> 200 (sev=high)
2026-03-20T09:04:41+00:00 | 192.168.1.0 | DELETE /api/orders | port=443 | status=200 | severity=medium | [2f02d820-a5ad-448c-8fbb-73dfc748660f] DELETE /api/orders -> 200 (sev=medium)
