2026-03-20T04:49:52+00:00 | 12.191.134.71 | Attack:Port Scan | port=445 | status=SUCCESSFUL | severity=high | src=12.191.134.71 attack=Port Scan port=445 action=SUCCESSFUL sev=high
2026-03-21T19:01:06+00:00 | 186.154.227.161 | Attack:XSS | port=80 | status=BLOCKED | severity=medium | src=186.154.227.161 attack=XSS port=80 action=BLOCKED sev=medium
2026-03-20T05:46:48+00:00 | 61.90.152.79 | Attack:DDoS | port=21 | status=BLOCKED | severity=medium | src=61.90.152.79 attack=DDoS port=21 action=BLOCKED sev=medium peak_rps=75805
2026-03-21T18:26:26+00:00 | 32.204.3.115 | Attack:Brute Force | port=3389 | status=DETECTED | severity=low | src=32.204.3.115 attack=Brute Force port=3389 action=DETECTED sev=low
2026-03-20T22:47:37+00:00 | 129.250.138.141 | Attack:Port Scan | port=23 | status=BLOCKED | severity=high | src=129.250.138.141 attack=Port Scan port=23 action=BLOCKED sev=high
2026-03-20T18:15:43+00:00 | 162.158.4.141 | Attack:SQL Injection | port=3306 | status=MITIGATED | severity=low | src=162.158.4.141 attack=SQL Injection port=3306 action=MITIGATED sev=low
2026-03-20T21:28:00+00:00 | 172.203.181.82 | Attack:XSS | port=3306 | status=SUCCESSFUL | severity=high | src=172.203.181.82 attack=XSS port=3306 action=SUCCESSFUL sev=high
2026-03-21T14:36:42+00:00 | 222.94.38.8 | Attack:XSS | port=443 | status=BLOCKED | severity=medium | src=222.94.38.8 attack=XSS port=443 action=BLOCKED sev=medium
2026-03-21T06:54:09+00:00 | 72.159.14.167 | Attack:Port Scan | port=3389 | status=DETECTED | severity=high | src=72.159.14.167 attack=Port Scan port=3389 action=DETECTED sev=high
2026-03-21T17:38:09+00:00 | 185.158.91.99 | Attack:Malware | port=443 | status=DETECTED | severity=medium | src=185.158.91.99 attack=Malware port=443 action=DETECTED sev=medium
2026-03-20T05:12:38+00:00 | 192.93.174.162 | Attack:XSS | port=445 | status=DETECTED | severity=high | src=192.93.174.162 attack=XSS port=445 action=DETECTED sev=high
2026-03-21T22:01:41+00:00 | 218.54.5.137 | Attack:XSS | port=443 | status=BLOCKED | severity=low | src=218.54.5.137 attack=XSS port=443 action=BLOCKED sev=low
2026-03-20T06:46:19+00:00 | 147.18.51.100 | Attack:Phishing | port=3389 | status=DETECTED | severity=high | src=147.18.51.100 attack=Phishing port=3389 action=DETECTED sev=high
2026-03-20T13:41:43+00:00 | 55.48.14.94 | Attack:XSS | port=22 | status=DETECTED | severity=low | src=55.48.14.94 attack=XSS port=22 action=DETECTED sev=low
2026-03-21T22:20:33+00:00 | 185.228.135.113 | Attack:Port Scan | port=1433 | status=DETECTED | severity=medium | src=185.228.135.113 attack=Port Scan port=1433 action=DETECTED sev=medium
2026-03-20T01:21:56+00:00 | 31.50.166.45 | Attack:SQL Injection | port=22 | status=DETECTED | severity=medium | src=31.50.166.45 attack=SQL Injection port=22 action=DETECTED sev=medium
